"Amandes en poudre";"250 ml";"100 g"
"Amandes tranchées";"250 ml";"100 g"
"Arachides écalées";"250 ml";"130 g"
"Avoine(flocons)";"250 ml";"90 g"
"Bananes en purée";"250 ml";"240 g"
"Basilic haché grossièrement";"250 ml";"22 g"
"Beurre";"250 ml";"225 g"
"Beurre";"15 ml";"14 g"
"Beurre d’amande";"250 ml";"250 g"
"Beurre d’arachides";"250 ml";"276 g"
"Bleuets";"250 ml";"150 g"
"Cacao (poudre)";"250 ml";"85 g"
"Canneberges";"250 ml";"120 g"
"Canneberges séchées";"250 ml";"130 g"
"Carotte râpée";"250 ml";"95 g"
"Cassonade";"250 ml";"200 g"
"Céréale de grains de riz grillés (Rice Krispies)";"250 ml";"26 g"
"Cerises marasquins";"250 ml";"160 g"
"Cerises séchées";"250 ml";"146 g"
"Chapelure";"250 ml";"104 g"
"Chapelure de biscuit graham";"250 ml";"110 g"
"Chocolat brisures";"250 ml";"163 g"
"Citron, jus";"15 ml";"15 g"
"Citrouille, purée";"250 ml";"240 g"
"Courgettes râpées";"250 ml";"125 g"
"Courgettes tranchées";"250 ml";"125 g"
"Couscous isréalien";"250 ml";"150 g"
"Crème 35%";"250 ml";"240 g"
"Crème sure régulière";"250 ml";"230 g"
"Dattes hachées";"250 ml";"150 g"
"Farine à gâteau tamisée";"250 ml";"100 g"
"Farine à pâtisserie";"250 ml";"112 g"
"Farine d’épeautre intégrale";"250 ml";"120 g"
"Farine de blé entier";"250 ml";"125 g"
"Farine de maïs";"250 ml";"160 g"
"Farine de seigle";"250 ml";"135 g"
"Farine sarrasin";"250 ml";"168 g"
"Farine tout usage";"250 ml";"125 g"
"Fraises coupées";"250 ml";"125 g"
"Framboises";"250 ml";"120 g"
"Fromage cheddar râpé";"250 ml";"95 g"
"Fromage feta";"250 ml";"130 g"
"Fromage gouda";"250 ml";"87 g"
"Fromage gruyère";"250 ml";"70 g"
"Fromage mozzarella";"250 ml";"110 g"
"Fromage parmesan";"250 ml";"60 g"
"Gourgane";"250 ml";"140 g"
"Huile d’olive";"250 ml";"200 g"
"Jambon en dés";"250 ml";"125 g"
"Lait écrémé en poudre";"250 ml";"100 g"
"Lait entier 3,25%";"250 ml";"240 g"
"Lentilles brunes";"250 ml";"195 g"
"Macaroni coupé";"250 ml";"140 g"
"Maïs en grains";"250 ml";"170 g"
"Mélasse";"250 ml";"340 g"
"Miel";"15 ml";"22 g"
"Miel";"250 ml";"355 g"
"Noix de coco non sucré râpé";"250 ml";"88 g"
"Noix de grenoble hachées";"250 ml";"120 g"
"Noix de pacanes hachées";"250 ml";"120 g"
"Olives noires";"250 ml";"140 g"
"Olives vertes farcies";"250 ml";"120 g"
"Olives vertes tranchées";"250 ml";"140 g"
"Orge perlé";"250 ml";"200g"
"Pâte de tomate";"250 ml";"260 g"
"Pois jaune sec avec pelure";"250 ml";"210 g"
"Pommes en tranches";"250 ml";"120 g"
"Poulet cuit haché";"250 ml";"115 g"
"Raisins secs";"250 ml";"150 g"
"Rhubarbe en dés";"250 ml";"120 g"
"Riz";"250 ml";"200 g"
"Riz Sauvage";"250 ml";"175 g"
"Saindoux";"250 ml";"220 g"
"Semoule de maïs";"250 ml";"145 g"
"Shortening végétal";"250 ml";"190 g"
"Sirop de maïs";"250 ml";"325 g"
"Son de blé";"250 ml";"65 g"
"Sucre à glacer (non tamisé)";"250 ml";"113 g"
"Sucre à glacer (tamisé)";"250 ml";"95 g"
"Sucre blanc";"250 ml";"200 g"
"Sucre d’érable";"250 ml";"150 g"
"Tomate en conserve sans jus";"250 ml";"250 g"